question,option_a,option_b,option_c,option_d,correct_answer,explanation
Choose the correct synonym for 'Candid'.,Frank,Secretive,Biased,Dishonest,A,"Candid means truthful, straightforward, and frank."
Spot the error: 'The team / was divided / in their opinion / about the hiring.',The team,was divided,in their opinion,about the hiring,B,Use 'were divided' for individuals acting separately.
Fill in the blank: He is ___ honest man.,a,an,the,none,B,'Honest' starts with a vowel sound.
Select the antonym of 'Ephemeral'.,Short-lived,Transitory,Permanent,Fleeting,C,Ephemeral means short-lived; Permanent is the opposite.
Select the correctly spelled word.,Accomodate,Acomodate,Accommodate,Acomoddate,C,"Accommodate: cc, mm."
The idiom 'Bite the bullet' means:,To eat quickly,To endure a painful situation,To attack someone,To be hungry,B,To endure a painful situation with courage.
Sentence Arrangement: P: to the Q: he went R: market S: buy vegetables,QRP S,Q P R S,Q R P S,P R Q S,C,He went to the market to buy vegetables.
One word substitution: 'A person who does not believe in God'.,Theist,Atheist,Agnostic,Pagan,B,Atheist.
Change voice: 'She has written a novel.',A novel has written by her,A novel has been written by her,A novel was written by her,A novel had been written by her,B,Passive: has been written.
Fill in the blank: Neither of the two brothers ___ selected for the team.,was,were,has,have,A,'Neither' takes singular verb 'was'.
