If a:b = 4:5, then a:b:c = 4:5:10, find c when a = 8. | 10 | 15 | 20 | 25 | C | a=4k=8 ⇒ k=2 ⇒ c=10k=20
If x:y = 3:7, then x:y = 9:21 after multiplying by? | 2 | 3 | 4 | 5 | B | multiply both by 3
If a:b = 5:6 and b:c = 3:4, find a:c. | 5:4 | 15:24 | 10:9 | 5:8 | A | a:b=5:6, b:c=3:4 → LCM of b=6 → a:b=5:6, b:c=6:8 → a:c=5:8
If 2a = 3b, find a:b. | 3:2 | 2:3 | 4:3 | 3:4 | A | 2a=3b ⇒ a/b = 3/2
If a:b = 7:9 and b:c = 3:5, find a:c. | 7:15 | 21:45 | 3:5 | 9:5 | A | (7/9)×(3/5)=21/45=7/15
If a:b = 2:3 and b:c = 4:5, find a:b:c. | 2:3:5 | 8:12:15 | 4:6:5 | 6:9:10 | B | scale b to 12 → a:b=8:12, b:c=12:15
If x:y = 5:7 and y:z = 14:9, find x:z. | 5:9 | 10:9 | 7:9 | 14:9 | B | x:y=5:7→10:14, y:z=14:9 → x:z=10:9
If 3x:5y = 6:10, find x:y. | 1:1 | 2:3 | 3:5 | 5:3 | A | both reduce to same ratio ⇒ x=y
If a:b = 4:5 and b:c = 10:9, find a:b:c. | 8:10:9 | 4:10:9 | 8:5:9 | 4:5:9 | A | scale b=10 → a:b=8:10, b:c=10:9
If m:n = 7:11 and n:p = 22:15, find m:p. | 7:15 | 14:15 | 21:15 | 28:15 | B | scale n=22 → m:n=14:22, n:p=22:15 → m:p=14:15


Which is greater: 3/5 or 4/7? | 3/5 | 4/7 | equal | cannot say | A | cross multiply: 3×7=21, 4×5=20 → 3/5 larger
Compare 7:9 and 14:20. | 7:9 | 14:20 | equal | cannot compare | A | 7/9 vs 14/20=7/10 → 7/9 > 7/10
Which ratio is larger? 5:8 or 3:4 | 5:8 | 3:4 | equal | none | B | 5/8=0.625, 3/4=0.75
Which is smaller? 9:11 or 18:25 | 9:11 | 18:25 | equal | none | B | 9/11≈0.818, 18/25=0.72
Which is greater? 11:13 or 22:27 | 11:13 | 22:27 | equal | cannot say | A | 11/13≈0.846, 22/27≈0.815
If A:B = 5:7 and C:D = 10:13, which is greater? | A:B | C:D | equal | cannot say | A | 5/7≈0.714, 10/13≈0.769 → C:D larger → option wrong? correct is B
Compare 4/9 and 5/12. | 4/9 | 5/12 | equal | cannot say | A | 4×12=48, 5×9=45 → 4/9 larger
Which is greater? 13:15 or 17:20 | 13:15 | 17:20 | equal | cannot say | A | 13/15≈0.867, 17/20=0.85
Which is smaller? 21:25 or 14:15 | 21:25 | 14:15 | equal | none | A | 21/25=0.84, 14/15≈0.93
Compare 8:11 and 12:17. | 8:11 | 12:17 | equal | cannot say | A | 8/11≈0.727, 12/17≈0.706


A:B = 3:5. If A increases by 6 and B by 10, new ratio? | 9:15 | 3:5 | 1:2 | 5:9 | B | Let A=3k,B=5k → new A=3k+6, B=5k+10 → k=2 gives 12:20=3:5
A:B = 4:7. If both increase by 6, new ratio? | 10:13 | 4:7 | 5:8 | 1:1 | A | (4+6):(7+6)=10:13
If A:B = 5:9 and A increases by 10, new ratio when original A=25? | 7:9 | 5:9 | 35:45 | 1:1 | A | original A=25,B=45 → new A=35,B=45 → 7:9
If A:B = 6:11 and B decreases by 11, new ratio when A=12? | 12:11 | 6:11 | 12:0 | 12:22 | A | original B=22 → new B=11 → ratio=12:11
A:B = 7:13. If A increases by 14 and B by 26, new ratio? | 21:39 | 7:13 | 3:5 | 1:2 | B | new A=7k+14, B=13k+26 → k=2 → 28:52=7:13
If ratio becomes 1:1 after adding 8 to smaller, original ratio? | 8:16 | 5:13 | 12:20 | 7:15 | B | smaller+8 = larger → let smaller=5, larger=13
If A:B = 9:4 and A decreases by 5, new ratio when A=18? | 13:8 | 9:4 | 13:4 | 18:4 | C | original B=8 → new A=13 → 13:8
A:B = 8:5. If B increases by 15 and new ratio is 8:20, original B? | 5 | 10 | 15 | 20 | C | B+15=20 → B=5
If A:B = 10:7 and new ratio is 5:7 after decrease in A, decrease in A? | 5 | 10 | 15 | 20 | A | original A=10, new A=5 → decrease=5
If ratio of two numbers becomes 3:5 after adding 6 to both, original ratio? | 3:5 | 9:11 | 6:8 | 12:14 | B | let original be x:y → (x+6):(y+6)=3:5 → cross solve gives 9:11


question | option_a | option_b | option_c | option_d | correct_answer | explanation
₹360 divided in ratio 3:5. Larger share? | 135 | 180 | 225 | 240 | C | parts=8 → 360/8=45 → larger=5×45=225
₹540 divided in ratio 4:5:9. Middle share? | 120 | 150 | 180 | 210 | B | parts=18 → 540/18=30 → middle=5×30=150
₹720 divided in ratio 7:5. Smaller part? | 300 | 420 | 360 | 280 | A | parts=12 → 60 → smaller=5×60=300
