question,option_a,option_b,option_c,option_d,correct_answer,explanation
Which is a proper fraction?,5/3,7/4,3/7,9/8,C,Numerator < Denominator
Value of −3 × 7,−21,21,−10,10,A,Negative × positive = negative
Which is greatest?,−2,−5,0,−1,C,Zero is greatest
Reciprocal of 4/5,5/4,4/5,1/4,1/5,A,Flip numerator & denominator
Value of 12 ÷ (−3),−4,4,−3,3,A,Positive ÷ negative = negative
Which is smallest?,−9,−3,−6,−1,A,Most negative is smallest
Simplify 6/18,1/2,1/3,2/3,3/4,B,Divide by 6
Value of (−2)²,−4,4,−2,2,B,Square is positive
Which is rational?,√2,π,3/5,√3,C,Rational = p/q
Add −7 + 12,3,5,−5,−19,B,−7 + 12 = 5
