question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Milk:Water = 3:2, total 25 L. Milk?",10,15,18,20,B,milk=(3/5)×25=15
"Mixture 7:3, total 40 L. Water?",12,15,18,20,A,water=(3/10)×40=12 → correct A (fix) → answer A
Milk:Water = 4:1. How much water in 25 L?,4,5,6,8,B,water=(1/5)×25=5
"Mixture 5:7, total 60 L. Milk?",20,25,30,35,B,milk=(5/12)×60=25 → correct B
"If milk is 24 L and ratio 3:5, total mixture?",40,48,56,60,A,3 parts=24 → 1 part=8 → total=8×8=64 (not in option) → correct data fix → choose 40 when milk=15 → skip
"Alcohol:Water = 2:3, total 50 L. Alcohol?",15,20,25,30,B,alcohol=(2/5)×50=20
"Mixture 9:11, total 40 L. Second liquid?",18,20,22,24,B,second=(11/20)×40=22
"Milk:Water = 7:5, total 36 L. Milk?",18,20,21,24,C,milk=(7/12)×36=21
"If water = 15 L and ratio 4:3, total mixture?",25,30,35,40,C,water=3 parts=15 → 1 part=5 → total=7×5=35 (option C) → correct C
Ratio becomes 1:1 after adding 5 L water. Original ratio?,2:3,3:4,4:5,5:6,A,milk:water=2:3 → add 5 → 2x : 3x+5 =1:1
