question,option_a,option_b,option_c,option_d,correct_answer,explanation
"[History] If log₂(x) + log₂(x−2) = 3, find x",2,3,4,6,C,x(x−2)=8 → x=4
[History] Find the remainder when 7^103 is divided by 6,0,1,5,3,A,7≡1 (mod 6)
"[History] A can do a work in 10 days, B in 15 days. Together?",5,6,7,8,B,1/10+1/15=1/6
"[History] If sinθ=3/5, find cosθ",4/5,5/4,3/4,1/5,A,Using identity
[History] Solve: x²−7x+10=0,"2,5","1,10","3,4","−2,−5",A,Factorization
"[History] Mean of 5 numbers is 20, sum?",50,80,100,120,C,Mean×count
[History] LCM of 12 and 18,24,36,12,72,B,Prime factors
[History] Probability of head in fair coin?,0,1,1/2,1/3,C,Two outcomes
[History] Solve |x−3|=5,8,−2,Both,None,C,± solutions
"[History] If a:b=2:3 and b:c=4:5, a:c?",8:15,2:5,3:4,5:8,A,Chain ratio
