question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Two cities Alipur and Balipur are 72 km apart. Arun and Varun who stay at Alipur start riding on bicycles to Balipur. Arun travels at a speed of 17 kmph while Varun’s speed is 2 kmph more than Arun. Varun reaches Balipur early, returns immediately, and meets Arun at Chandipur. Calculate total distance traveled by Varun before meeting Arun?",76 km,70 km,75 km,86 km,A,Total distance = 2*Distance - Distance_Arun. Using relative speed and meeting point logic: 36 * 17 = 17*144 - 17z. Final calc: Distance = 144 - 68 = 76 km.
"A bus traveling from City A to City B has an average speed of 50 km/hr without stops. With 4 stops of 15 minutes each, the average speed drops to 40 km/hr. Find the distance between the two cities.",200 km,360 km,450 km,630 km,A,"Time without stops = T. Distance = 50T. With stops (1 hr total), Time = T+1. Distance = 40(T+1). 50T = 40T + 40 => 10T = 40 => T=4. Distance = 50*4 = 200 km."
Tap A and B can fill a cistern together in 2.4 hours. Tap A flows at 100 liters/hr. Tap B alone can fill the cistern in 4 hours. What is the cistern's capacity?,500 liters,600 liters,1000 liters,1200 liters,B,Together = 12/5 hrs (2.4). B = 4 hrs. 1/A = 5/12 - 1/4 = 5/12 - 3/12 = 2/12 = 1/6. A takes 6 hours. Rate 100 L/hr. Capacity = 6 * 100 = 600 Liters.
What is the third proportional to (a - b) and (a^2 - b^2)?,a^3 - ab^2 + ab - b^3,a^3 - ab^2 + a^2b - b^3,a^3 - ab^2 + ab^2 - b^3,a^3 - a^2b + ab - b^3,B,Third proportional x: (a-b)/(a^2-b^2) = (a^2-b^2)/x. x = (a^2-b^2)^2 / (a-b) = (a-b)(a+b)^2 = (a-b)(a^2+2ab+b^2) = a^3 - ab^2 + a^2b - b^3.
"Working 8 hours a day, A finishes a task in 12 days. B takes 2 days less than A (10 days) working 2 hours more per day (10 hours). If they work together 8 hours a day, how many days will they take?",8 days,39/12 days,60/11 days,15/8 days,C,A's total hours = 12*8 = 96. B's total hours = 10*10 = 100. Rate = 1/96 + 1/80 = 11/480. Days = Total Work / (Rate * 8) = 480/11 / 8 = 60/11 days.
Class B has 50% more students than Class A. Number of girls in A equals number of boys in B. The percentage of girls is the same in both. What percentage of the students are boys?,33.33%,40%,25%,60%,B,Let A have 100 (x). B has 150 (1.5x). Total = 250. Girls A = Boys B. Solving the ratio: Boys % comes out to 40%.
"Raj borrowed Rs 22,000 at 20% compound interest annually, repaid in 2 yearly installments. Find the value of each installment.",Rs. 11000,Rs. 12800,Rs. 14400,Rs. 16400,C,P = x/(1+r) + x/(1+r)^2. 22000 = x/1.2 + x/1.44. Solving for x yields Rs. 14400.
A mix contains 60L of Oil A (Rs 32/L) and some Oil B. Oil B is Rs 9 cheaper than A. The mix is sold at Rs 28/L (no profit/loss). How much Oil B is added?,24 liters,36 liters,48 liters,50 liters,C,"Price A=32, B=23. Mean=28. Ratio A:B = (28-23):(32-28) = 5:4. A=60 -> B=48 Liters."
A square is inscribed in a circle of circumference 100 cm. Find the side of the square.,50√2 cm,100/π cm,50√2/π cm,100√2/π cm,C,2πr = 100 => Diameter = 100/π. Diagonal of square = Diameter. Side = 100/(π√2) = 50√2/π.
"Pointing to a photograph, a man said, 'I have no brother or sister but that man's father is my father's son.' Whose photograph was it?",His own,His son,His father,His nephew,B,'My father's son' (no siblings) = Me. 'That man's father is Me'. The man is my son.
"Find the next number: 3, 12, 27, 48, 75, ...",108,100,112,120,A,"Series 3*n^2: 3, 12, 27, 48, 75. Next: 3*36=108."
Statements: No stone is metal. Some metals are papers. All papers are glass. Conclusions: I. Some metals being glass is a possibility. II. At least some glass is metal.,Only I follows,Only II follows,Both I and II follow,Neither follows,C,Intersection of Metal and Glass exists. II represents a definite truth. Possibility logic usually holds for definite truths in aptitude contexts.
Arrange in logical sequence: 1. Frog 2. Eagle 3. Grasshopper 4. Snake 5. Grass,"5, 3, 4, 2, 1","5, 3, 1, 4, 2","1, 3, 5, 2, 4","3, 4, 2, 5, 1",B,Grass -> Grasshopper -> Frog -> Snake -> Eagle.
"Harsh said, 'His mother is the wife of my father's son. Brothers and sisters I have none.' Who is in the portrait?",His son,His cousin,His uncle,His nephew,A,'My father's son' = Harsh. 'His mother is Harsh's wife'. The person is Harsh's son.
"If FAITH is coded as KELVM, how is CLOUD coded?",HEWZR,HPRWI,GFWZR,HPWZR,B,"Pattern: +5, +4, +3, +2, +5. C->H, L->P, O->R, U->W, D->I."
A is 3 times as efficient as B and takes 60 days less than B. How many days if they work together?,22.5 days,25 days,30 days,15 days,A,"A=30, B=90. Together = 22.5 days."
"If BOOK is coded as 43, what is the code for PEN?",35,32,50,42,A,B(2)+O(15)+O(15)+K(11)=43. P(16)+E(5)+N(14)=35.
