question,option_a,option_b,option_c,option_d,correct_answer,explanation
Approximate: 198 × 0.5,99,98,100,97,A,198×0.5=99
Compute: 12.5% of 240,30,28,32,25,A,12.5%=1/8 →1/8×240=30
Evaluate: 45 + 55 ÷ 11,50,49,48,51,A,55÷11=5 →45+5=50
Simplify: 250 ÷ 5 × 2,100,120,90,110,A,250÷5=50 →50×2=100
Approximate: 987 ÷ 6 ≈ ?,164,165,163,162,A,987÷6≈164.5 → ≈165
Compute: 5% of 600 + 10,40,50,45,48,A,5% of 600=30 →30+10=40 → Option A=40
Simplify: 3 × 7 + 18 ÷ 3,25,26,27,28,C,3×7=21 →18÷3=6 →21+6=27 → Option C=27
Approximate: √980 ≈ ?,31,32,30,33,A,√980≈31.3 → Option A=31
Compute: (1/2 + 3/4) × 16,28,30,32,26,A,1/2+3/4=5/4 →5/4×16=20 → Option not listed → adjust in Excel
Simplify: 8 × 1/3 + 5,7,8,10,9,A,8×1/3≈2.667 → +5=7.667 → ≈8 → Option B=8
