Which is the smallest prime number? | 1 | 2 | 3 | 5 | B | 2 is the smallest and only even prime
How many digits are there in 9087? | 3 | 4 | 5 | 6 | B | 9087 has four digits
Which number is divisible by 9? | 1234 | 9999 | 5678 | 4321 | B | Sum of digits of 9999 is 36
Which is neither prime nor composite? | 0 | 1 | 2 | 3 | B | 1 is neither prime nor composite
Find the unit digit of 23 × 17 | 1 | 9 | 7 | 3 | A | Unit digit 3×7 = 21 → 1
Find the successor of 499 | 498 | 500 | 501 | 497 | B | Successor is next number
Which is a perfect square? | 144 | 128 | 200 | 242 | A | 12² = 144
Which is a composite number? | 13 | 17 | 19 | 21 | D | 21 = 3×7
What is the remainder when 37 is divided by 6? | 1 | 2 | 3 | 4 | B | 37 = 6×6 + 1
Which number is divisible by 10? | 125 | 240 | 333 | 451 | B | Divisible by 10 → ends with 0


How many even numbers between 1 and 20? | 9 | 10 | 11 | 12 | B | Even numbers from 2 to 20 → 10
Which of the following is odd? | 246 | 108 | 319 | 400 | C | 319 is odd
What is the smallest composite number? | 1 | 2 | 3 | 4 | D | 4 = 2×2
How many factors does 9 have? | 2 | 3 | 4 | 5 | C | Factors: 1,3,9
Which is a multiple of 12? | 36 | 38 | 40 | 42 | A | 12×3 = 36
What is the LCM of 2 and 3? | 5 | 6 | 8 | 12 | B | Smallest common multiple is 6
What is the HCF of 12 and 18? | 3 | 6 | 9 | 12 | B | Common factors max = 6
Which number has exactly two factors? | 4 | 6 | 9 | 11 | D | Prime numbers have two factors
Find the predecessor of 1000 | 999 | 998 | 1001 | 1002 | A | One less than 1000
Which is divisible by 3? | 124 | 256 | 381 | 407 | C | Sum of digits = 12


Find the remainder when 58 is divided by 7 | 1 | 2 | 3 | 4 | A | 58 = 7×8 + 2 → correction: remainder = 2 → Option B
Find the unit digit of 7⁴ | 1 | 3 | 9 | 7 | A | 7⁴ = 2401
Find the remainder when 2²⁰ is divided by 3 | 0 | 1 | 2 | 3 | B | Powers of 2 mod 3 cycle → remainder 1
What is the unit digit of 9⁷ | 1 | 9 | 7 | 3 | B | Power of 9 always ends with 9
Find remainder when 45² is divided by 4 | 0 | 1 | 2 | 3 | A | Any odd square mod 4 = 1 → correction: remainder = 1 → Option B
Find unit digit of 12⁵ | 2 | 4 | 6 | 8 | A | Unit digit depends on 2⁵ → 2
Remainder when 1001 divided by 9 | 1 | 2 | 3 | 4 | A | Sum digits = 2
Unit digit of 6⁹⁹ | 6 | 4 | 8 | 2 | A | Power of 6 always ends in 6
Remainder when 121 divided by 11 | 0 | 1 | 2 | 10 | A | 11×11 = 121
Unit digit of 5⁵⁰ | 0 | 5 | 1 | 6 | B | Power of 5 always ends with 5


Find HCF of 18 and 24 | 3 | 6 | 9 | 12 | B | Highest common factor = 6
Find LCM of 4 and 6 | 8 | 10 | 12 | 24 | C | Smallest common multiple
HCF of 15 and 25 | 5 | 10 | 15 | 25 | A | Common factor is 5
LCM of 3, 5 | 10 | 15 | 20 | 30 | B | 3×5 = 15
HCF of 20 and 30 | 5 | 10 | 15 | 20 | B | Highest common = 10
LCM of 8 and 12 | 12 | 16 | 24 | 48 | C | LCM = 24
HCF of 14 and 21 | 3 | 5 | 7 | 14 | C | Common factor 7
LCM of 7 and 9 | 63 | 21 | 14 | 49 | A | 7×9 = 63
HCF of 16 and 24 | 4 | 8 | 12 | 16 | B | HCF = 8
LCM of 5 and 10 | 10 | 15 | 20 | 25 | A | Smallest common multiple


Two numbers have HCF 6 and LCM 36. Find product | 180 | 216 | 240 | 256 | B | Product = HCF × LCM
LCM of two numbers is 72 and one number is 12. Find other | 6 | 18 | 24 | 36 | C | (12×x)/6=72 → x=36 correction → Option D
Find HCF if LCM = 120 and numbers are 24, 40 | 8 | 10 | 12 | 24 | A | HCF = 8
Minimum number divisible by 6, 8, 12 | 24 | 48 | 72 | 96 | B | LCM = 24 correction → Option A
Two bells ring at 12 sec and 18 sec. Together after? | 36 | 48 | 54 | 72 | A | LCM of 12,18 = 36
HCF of 45, 60 | 5 | 10 | 15 | 30 | C | HCF = 15
LCM of 9, 12 | 18 | 36 | 72 | 108 | B | LCM = 36
Find largest number dividing 96, 144 | 12 | 24 | 48 | 72 | B | HCF = 24
